task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
462	e9/b92abc	163883	SUSIE_FINE_MAPPING (461)	COMPLETED	0	2022-01-12 15:19:53.536	43.5s	17.2s	59.6%	555.1 MB	877 MB	28 MB	6.3 KB
475	5c/25c0c0	163907	SUSIE_FINE_MAPPING (474)	COMPLETED	0	2022-01-12 15:20:03.836	33.2s	15.9s	46.3%	592.4 MB	914.3 MB	37.6 MB	6.3 KB
478	cc/462a27	163911	SUSIE_FINE_MAPPING (477)	COMPLETED	0	2022-01-12 15:20:06.193	30.9s	13.5s	49.1%	613 MB	935.2 MB	40 MB	6.1 KB
487	dd/fe7626	163926	SUSIE_FINE_MAPPING (486)	COMPLETED	0	2022-01-12 15:20:10.791	26.5s	16.4s	65.0%	423.3 MB	744.7 MB	30.1 MB	6.3 KB
491	01/abba5e	163938	SUSIE_FINE_MAPPING (490)	COMPLETED	0	2022-01-12 15:20:15.438	21.9s	13.8s	64.5%	376.6 MB	699.1 MB	25.2 MB	6.3 KB
456	67/cb7097	163868	SUSIE_FINE_MAPPING (455)	COMPLETED	0	2022-01-12 15:19:50.003	51.7s	27.8s	71.2%	911.2 MB	1.2 GB	44.8 MB	7.7 KB
471	6d/b251c2	163899	SUSIE_FINE_MAPPING (470)	COMPLETED	0	2022-01-12 15:20:01.114	40.7s	13.4s	61.7%	724.7 MB	1 GB	42.5 MB	7.8 KB
474	14/81aef2	163903	SUSIE_FINE_MAPPING (473)	COMPLETED	0	2022-01-12 15:20:02.322	39.5s	11.5s	61.5%	527.8 MB	849 MB	35.4 MB	6.5 KB
482	2c/0705b7	163919	SUSIE_FINE_MAPPING (481)	COMPLETED	0	2022-01-12 15:20:08.305	33.7s	18.3s	66.0%	541.5 MB	893.3 MB	35 MB	6.3 KB
495	da/41a7b7	163942	SUSIE_FINE_MAPPING (494)	COMPLETED	0	2022-01-12 15:20:16.679	25.5s	11.4s	44.2%	360.9 MB	679.4 MB	26.3 MB	6.3 KB
497	c0/f58f3d	163946	SUSIE_FINE_MAPPING (496)	COMPLETED	0	2022-01-12 15:20:18.458	23.8s	12.1s	38.3%	348.1 MB	669.1 MB	26.6 MB	6.3 KB
464	d5/6e97c0	163886	SUSIE_FINE_MAPPING (463)	COMPLETED	0	2022-01-12 15:19:55.596	51.2s	36.8s	70.8%	1.4 GB	1.8 GB	82.1 MB	6.3 KB
472	4e/962c46	163901	SUSIE_FINE_MAPPING (471)	COMPLETED	0	2022-01-12 15:20:01.975	45s	18s	62.0%	531.4 MB	853.1 MB	33 MB	6.3 KB
473	1b/95454b	163905	SUSIE_FINE_MAPPING (472)	COMPLETED	0	2022-01-12 15:20:03.598	43.4s	15.2s	64.3%	680 MB	952.6 MB	45.6 MB	11.7 KB
477	bc/6e8e46	163913	SUSIE_FINE_MAPPING (476)	COMPLETED	0	2022-01-12 15:20:06.399	40.6s	23.9s	52.8%	651.4 MB	971.1 MB	41.9 MB	9.1 KB
480	84/cda285	163916	SUSIE_FINE_MAPPING (479)	COMPLETED	0	2022-01-12 15:20:07.468	39.7s	24.7s	72.7%	528 MB	848.1 MB	38.3 MB	9.9 KB
493	23/dfe400	163952	SUSIE_FINE_MAPPING (492)	COMPLETED	0	2022-01-12 15:20:22.694	24.5s	10s	62.5%	341.9 MB	660.5 MB	25.3 MB	6.6 KB
463	44/6429f3	163884	SUSIE_FINE_MAPPING (462)	COMPLETED	0	2022-01-12 15:19:53.999	57.9s	30.9s	67.4%	803.1 MB	1.1 GB	47.1 MB	6.3 KB
492	35/9c25f4	163936	SUSIE_FINE_MAPPING (491)	COMPLETED	0	2022-01-12 15:20:14.098	38.1s	8.9s	41.6%	339.9 MB	659.4 MB	25.3 MB	6.3 KB
513	39/560ee3	163979	SUSIE_FINE_MAPPING (512)	COMPLETED	0	2022-01-12 15:20:32.727	19.8s	11.3s	55.1%	632.8 MB	946 MB	40.8 MB	6.3 KB
332	a5/31ac38	163737	SUSIE_FINE_MAPPING (331)	COMPLETED	0	2022-01-12 15:18:15.623	2m 41s	2m 12s	88.7%	830.2 MB	1.1 GB	41.5 MB	7.6 KB
470	b3/8020fb	163897	SUSIE_FINE_MAPPING (469)	COMPLETED	0	2022-01-12 15:20:00.866	56s	25.9s	61.8%	533.1 MB	855.5 MB	33 MB	6.3 KB
517	22/5a58d1	163990	SUSIE_FINE_MAPPING (516)	COMPLETED	0	2022-01-12 15:20:38.810	18.2s	7.4s	67.8%	433.3 MB	669.7 MB	33.3 MB	6.3 KB
465	f5/b09948	163889	SUSIE_FINE_MAPPING (464)	COMPLETED	0	2022-01-12 15:19:55.969	1m 6s	38.4s	70.6%	862.5 MB	1.2 GB	44.5 MB	8.8 KB
468	ce/1a8164	163895	SUSIE_FINE_MAPPING (467)	COMPLETED	0	2022-01-12 15:19:59.500	1m 2s	29.3s	65.6%	593.5 MB	788.2 MB	43.4 MB	6.3 KB
